reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Share (%),Share Partner Country (%),,Ranking Partners,Growth Value 5Y (%),Growth Value 2Y (%),Growth Value Partners 5Y (%)
170,Colombia,251,Francia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",786,12693,0.6151438074740755,0.002719115,1.248138,18,48,-68,17
170,Colombia,124,Canadá,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",744,780486,0.5822735276853845,0.001286622,3.225214,7,81,1626,16
170,Colombia,704,Viet Nam,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",684,-684,0.5353159851301115,0.06977584,0.0712401,68,29,262,4
170,Colombia,792,Türkiye,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",660,5797,0.5165329681080023,0.08898694,0.97143,21,-21,-39,7
170,Colombia,344,"Hong Kong, China",71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",598,135410,0.4680101741342203,0.001661064,8.653927,4,-14,-69,14
170,Colombia,484,México,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",568,3317,0.4445314028565838,0.002240139,0.8110328,23,-20,26,5
170,Colombia,591,Panamá,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",558,45,0.4367051457640383,21.88942,0.03040133,83,-38,-3,12
170,Colombia,152,Chile,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",419,1556,0.3279201721776560,0.01227257,0.2706164,41,,333,27
170,Colombia,616,Polonia,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",389,-389,0.3044414009000196,0.02624979,0.2148371,46,-8,-98,7
170,Colombia,702,Singapur,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",268,59,0.2097436900802191,0.001039782,1.859143,14,,106,4
170,Colombia,604,Perú,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaqué) y manufacturas de estas materias; bisutería; monedas",233,15955,0.1823517902563099,0.007621523,1.341608,17,-31,93,24
